InventoryId,AvgInventoryQty,TotalCOGS,AvgPurchasePrice,AvgInventoryValue,InventoryTurnoverRatio
10_HORNSEY_10062,13.0,66.33,6.03,78.39,0.8461538461538461
10_HORNSEY_10164,16.0,125.39999999999999,10.45,167.2,0.75
10_HORNSEY_10227,7.5,73.92,6.16,46.2,1.5999999999999999
10_HORNSEY_10236,54.5,577.94,7.81,425.645,1.3577981651376148
10_HORNSEY_10266,58.0,804.72,9.58,555.64,1.4482758620689655
10_HORNSEY_1031,6.0,268.56,33.57,201.42000000000002,1.3333333333333333
10_HORNSEY_10357,27.0,62.28,5.19,140.13000000000002,0.44444444444444436
10_HORNSEY_10422,24.5,279.22,6.07,148.715,1.8775510204081634
10_HORNSEY_10443,51.0,468.0,6.5,331.5,1.411764705882353
10_HORNSEY_10453,40.5,190.44,5.29,214.245,0.8888888888888888
10_HORNSEY_10469,9.5,196.07999999999998,10.32,98.04,1.9999999999999998
10_HORNSEY_10531,8.5,118.32,9.86,83.81,1.4117647058823528
10_HORNSEY_10579,39.5,238.32,6.62,261.49,0.9113924050632911
10_HORNSEY_10621,14.0,277.44,11.56,161.84,1.7142857142857142
10_HORNSEY_10676,8.0,337.20000000000005,28.1,224.8,1.5000000000000002
10_HORNSEY_10731,18.5,129.87,9.99,184.815,0.7027027027027027
10_HORNSEY_10732,17.5,127.4,9.8,171.5,0.7428571428571429
10_HORNSEY_10733,19.0,106.08,8.16,155.04,0.6842105263157895
10_HORNSEY_10734,18.5,152.36,11.72,216.82000000000002,0.7027027027027027
10_HORNSEY_10750,20.0,215.88,17.99,359.79999999999995,0.6000000000000001
10_HORNSEY_11067,63.5,8.24,8.24,523.24,0.015748031496062992
10_HORNSEY_11089,19.5,164.64000000000001,6.86,133.77,1.2307692307692308
10_HORNSEY_11152,15.0,126.24,5.26,78.89999999999999,1.6
10_HORNSEY_11456,18.0,272.64,22.72,408.96,0.6666666666666666
10_HORNSEY_11480,18.5,120.72,10.06,186.11,0.6486486486486486
10_HORNSEY_11499,36.5,218.88,18.24,665.76,0.3287671232876712
10_HORNSEY_11745,13.0,140.76,6.12,79.56,1.7692307692307692
10_HORNSEY_11821,17.0,255.84,10.66,181.22,1.411764705882353
10_HORNSEY_11854,13.5,201.12,8.38,113.13000000000001,1.7777777777777777
10_HORNSEY_11856,8.5,90.36,7.53,64.005,1.411764705882353
10_HORNSEY_11888,13.0,90.36,7.53,97.89,0.923076923076923
10_HORNSEY_11915,29.0,470.40000000000003,19.6,568.4000000000001,0.8275862068965516
10_HORNSEY_12086,19.0,115.80000000000001,9.65,183.35,0.6315789473684211
10_HORNSEY_12111,37.0,729.64,10.73,397.01,1.837837837837838
10_HORNSEY_12116,9.5,46.44,7.74,73.53,0.631578947368421
10_HORNSEY_1212,65.5,172.56,14.38,941.8900000000001,0.18320610687022898
10_HORNSEY_12140,28.5,283.68,5.91,168.435,1.6842105263157896
10_HORNSEY_12154,13.0,120.72,10.06,130.78,0.923076923076923
10_HORNSEY_12213,90.0,608.35,5.29,476.1,1.2777777777777777
10_HORNSEY_12224,26.0,236.52,6.57,170.82,1.3846153846153848
10_HORNSEY_12270,7.5,104.64000000000001,8.72,65.4,1.6
10_HORNSEY_12368,35.5,425.4,7.09,251.695,1.6901408450704225
10_HORNSEY_12520,18.0,113.28,4.72,84.96,1.3333333333333335
10_HORNSEY_12534,11.0,82.67999999999999,6.89,75.78999999999999,1.0909090909090908
10_HORNSEY_12586,17.5,57.84,4.82,84.35000000000001,0.6857142857142857
10_HORNSEY_12772,9.0,110.39999999999999,9.2,82.8,1.3333333333333333
10_HORNSEY_12946,14.5,151.11,6.57,95.265,1.5862068965517242
10_HORNSEY_1296,7.0,123.60000000000001,20.6,144.20000000000002,0.8571428571428571
10_HORNSEY_13123,16.5,209.28000000000003,8.72,143.88000000000002,1.4545454545454546
10_HORNSEY_13154,37.5,93.48,7.79,292.125,0.32
10_HORNSEY_13303,15.0,215.04000000000002,8.96,134.4,1.6
10_HORNSEY_13422,24.0,148.35000000000002,6.45,154.8,0.9583333333333334
10_HORNSEY_13427,15.5,292.14,16.23,251.565,1.161290322580645
10_HORNSEY_13445,14.0,86.76,7.23,101.22,0.8571428571428572
10_HORNSEY_13458,36.5,419.29999999999995,5.989999999999999,218.63499999999996,1.9178082191780823
10_HORNSEY_13487,12.5,147.84,12.32,154.0,0.9600000000000001
10_HORNSEY_13567,26.0,447.84000000000003,9.33,242.58,1.8461538461538463
10_HORNSEY_13636,7.0,125.39999999999999,10.45,73.14999999999999,1.7142857142857144
10_HORNSEY_13637,19.0,97.92,8.16,155.04,0.6315789473684211
10_HORNSEY_1365,46.5,429.54999999999995,6.05,281.325,1.5268817204301075
10_HORNSEY_13651,16.0,108.35999999999999,9.03,144.48,0.75
10_HORNSEY_13662,41.5,339.48,9.43,391.34499999999997,0.8674698795180724
10_HORNSEY_13694,18.5,388.80000000000007,10.800000000000002,199.80000000000004,1.9459459459459458
10_HORNSEY_13710,12.5,72.36,6.03,75.375,0.96
10_HORNSEY_13731,5.0,69.66,11.61,58.05,1.2
10_HORNSEY_13837,7.5,68.76,5.73,42.975,1.6
10_HORNSEY_1386,7.0,175.07999999999998,14.59,102.13,1.7142857142857142
10_HORNSEY_13899,9.5,125.39999999999999,10.45,99.27499999999999,1.263157894736842
10_HORNSEY_13956,9.5,93.48,7.79,74.005,1.2631578947368423
10_HORNSEY_13968,24.0,301.68,8.38,201.12,1.5
10_HORNSEY_1399,4.5,83.42999999999999,27.81,125.145,0.6666666666666666
10_HORNSEY_13991,8.0,78.84,6.57,52.56,1.5
10_HORNSEY_14184,34.5,209.28000000000003,8.72,300.84000000000003,0.6956521739130435
10_HORNSEY_14194,17.0,306.0,25.5,433.5,0.7058823529411765
10_HORNSEY_14363,22.0,324.24,13.51,297.21999999999997,1.090909090909091
10_HORNSEY_14381,36.0,378.71999999999997,10.52,378.71999999999997,1.0
10_HORNSEY_14382,8.0,116.49,10.59,84.72,1.375
10_HORNSEY_14386,14.0,71.88,5.99,83.86,0.8571428571428571
10_HORNSEY_14393,72.0,578.5,6.5,468.0,1.2361111111111112
10_HORNSEY_14416,50.0,8.9,8.9,445.0,0.02
10_HORNSEY_14433,17.0,69.6,5.8,98.6,0.7058823529411764
10_HORNSEY_14457,10.5,85.14,7.74,81.27,1.0476190476190477
10_HORNSEY_14475,7.0,78.84,6.57,45.99,1.7142857142857142
10_HORNSEY_14539,67.5,261.56,10.06,679.0500000000001,0.38518518518518513
10_HORNSEY_14657,10.5,101.88,8.49,89.145,1.1428571428571428
10_HORNSEY_14666,12.0,140.16,11.68,140.16,1.0
10_HORNSEY_14799,8.5,154.8,12.9,109.65,1.411764705882353
10_HORNSEY_14818,59.0,257.52,10.73,633.07,0.40677966101694907
10_HORNSEY_14920,12.5,94.08,7.84,98.0,0.96
10_HORNSEY_15057,11.5,81.6,6.8,78.2,1.0434782608695652
10_HORNSEY_15059,12.0,74.4,6.2,74.4,1.0
10_HORNSEY_15205,9.5,213.12,17.76,168.72000000000003,1.263157894736842
10_HORNSEY_15233,10.5,29.21,29.21,306.705,0.09523809523809525
10_HORNSEY_15266,16.5,108.96000000000001,4.54,74.91,1.4545454545454548
10_HORNSEY_15355,87.0,1304.1599999999999,9.12,793.4399999999999,1.64367816091954
10_HORNSEY_15392,16.5,4.96,4.96,81.84,0.0606060606060606
10_HORNSEY_15399,12.5,87.36,7.28,91.0,0.96
10_HORNSEY_15748,3.0,5.44,5.44,16.32,0.33333333333333337
10_HORNSEY_15824,19.5,386.28,10.729999999999999,209.23499999999999,1.8461538461538463
10_HORNSEY_15837,13.0,63.12,5.26,68.38,0.9230769230769231
10_HORNSEY_159,19.0,503.82,27.99,531.81,0.9473684210526316
10_HORNSEY_15917,18.5,111.84,4.66,86.21000000000001,1.2972972972972971
10_HORNSEY_15979,14.5,211.0,8.44,122.38,1.7241379310344829
10_HORNSEY_16000,15.5,194.52,16.21,251.25500000000002,0.7741935483870968
10_HORNSEY_16129,81.5,1519.7999999999997,25.33,2064.395,0.7361963190184048
10_HORNSEY_16151,18.0,177.12,7.38,132.84,1.3333333333333333
10_HORNSEY_16314,37.5,126.96000000000001,5.29,198.375,0.64
10_HORNSEY_16378,27.0,79.92,6.66,179.82,0.4444444444444445
10_HORNSEY_16394,32.5,207.69,9.03,293.47499999999997,0.7076923076923077
10_HORNSEY_16400,8.5,73.7,6.7,56.95,1.2941176470588236
10_HORNSEY_16428,53.5,148.8,6.2,331.7,0.44859813084112155
10_HORNSEY_16429,60.0,52.199999999999996,5.8,348.0,0.15
10_HORNSEY_16431,50.0,220.32,6.12,306.0,0.72
10_HORNSEY_16468,15.5,93.48,7.79,120.745,0.7741935483870968
10_HORNSEY_16494,8.0,140.16,11.68,93.44,1.5
10_HORNSEY_16540,25.5,231.71,13.63,347.565,0.6666666666666667
